panel	genome_id	original_expected_class	curated_benchmark_class	biological_category	curation_basis	evidence_source	manual_review_required	affects_freeze_metric
internal_1103	Envir10_Thermotoga_neapolitana_DSM_4359_DSM_4359	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir11_Fervidobacterium_gondwanense_CBS-13020	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir12_Thermotoga_sp_2812B_2812B	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir13_Fervidobacterium_gondwanense_13770	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir14_Fervidobacterium_gondwanense_Kr-7	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir15_Mesotoga_prima_MesG1_Ag_4_2_mesG1_Ag_4_2	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir16_Fervidobacterium_nodosum_Rt17-B1_Rt17-B1	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir17_Thermotoga_sp_RQ7_RQ7	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir18_Kosmotoga_olearia_TBF_19_5_1_TBF_19_5_1	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir19_Hydrogenobaculum_sp_Y04AAS1_Y04AAS1	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
internal_1103	Envir1_Thermocrinis_albus_DSM_14484_DSM_14484	Environmental-comparator	Environmental-comparator	unchanged_original_reference_class	no_curated_label_change	historical_benchmark_label_retained	False	False
